homewin,spread
0,-7
1,7
1,17
0,9
1,-2.5
0,-9
1,10
1,18
1,-7.5
0,-8
1,2
1,10
0,-6
0,5
1,-10
1,33
1,11
1,24
0,-15
1,14
1,27
1,-1.5
0,8
1,30
0,-26
1,-2
1,14
1,20
1,21
1,21
1,16
0,-5
0,-1
1,21
1,9
1,-2
1,20
0,-1
1,25
0,-4
1,26
0,-8
1,-2
0,-17
0,-30
1,20
0,-1
1,14
1,14
1,4
1,14
1,10
0,-5.5
0,1
1,9
1,10.5
1,-8
1,3.5
1,8
0,-4
0,-1
1,-2
1,16
1,5
0,-5.5
1,3.5
1,15
1,13.5
1,14
1,21
0,-5
0,-19
0,-7
0,1
1,-12
0,-11
0,2
0,-2
1,3
0,-4.5
1,-7.5
1,12.5
0,-8
0,3.5
1,26
1,23
1,1
0,8
1,10
0,-2.5
1,23
0,-18
1,15
1,25
0,-17
1,25
0,-9
0,20
1,20
1,14
1,9
1,23
0,-2.5
1,2.5
0,-8
1,11
0,3
1,9
0,6
1,8
1,3
1,-5.5
1,9
0,-9
0,12
1,13
0,-5
0,5
1,10
0,2.5
0,2.5
1,14
1,19
0,1
0,5
1,23
1,29
1,24
0,-5
1,3.5
1,7.5
0,-2.5
1,13.5
1,13.5
1,16.5
0,2
1,19
1,2.5
1,1
0,-6.5
0,-9
0,-8.5
1,-9
1,19
1,6.5
0,-8
0,-5
1,14
1,1.5
1,11
0,-9
0,11
0,-7.5
0,2
0,10
0,-8
1,20
0,-15
0,-3
1,2
1,17
0,-5.5
0,1.5
0,-5.5
1,-4
1,-2
1,-3
1,17
0,1.5
1,-4.5
1,4.5
1,3
1,39
1,14
0,-12
0,-7
1,6
1,15
1,-7
1,-8
1,27
1,19
1,14
1,-2
1,9
1,14
0,13
0,-21.5
1,25
1,10
1,4
1,37
1,15
1,11
1,3.5
0,-8.5
1,22
1,11
1,2.5
1,25
1,22
1,20
0,-4.5
1,27
0,13
1,-4
1,1
1,6
1,1
0,11
0,21
1,1.5
1,4
1,20
1,2.5
0,-6.5
1,20
1,15
1,16.5
1,-9
1,2
1,12
1,14.5
1,11
0,1.5
1,23
1,-1
1,20
0,9.5
0,-3.5
1,20
1,6
0,-3
0,-11.5
1,3.5
1,-1.5
1,-2.5
1,29
0,-6.5
1,21
1,22
1,19
0,2.5
0,2.5
1,-1
0,5
1,14
0,-26
0,-8.5
1,9
1,5
1,7
1,3
1,12
1,26
1,12.5
0,-15
0,2
1,-5
0,-5
0,-2
0,-4
1,13
0,-4
0,4
0,-6
1,14
1,-3
1,1.5
0,-9
1,22
0,10
1,8
1,7
1,22
1,11
1,20
1,3
1,27
0,-2.5
0,-15
1,28
0,-8
1,-6
1,-10.5
1,3.5
0,1
1,14
1,-1.5
1,14
1,13.5
0,10.5
1,1.5
0,-18
1,16
0,8.5
1,11
1,22
1,-3
1,10
0,-15
1,-10
1,10
1,18
0,-15
0,-7
1,1
1,15
1,14
1,13.5
1,9
0,3.5
1,8
0,13.5
1,4
0,3.5
1,10
1,18.5
1,13.5
1,18.5
1,-1.5
1,2
0,7.5
1,8
1,1
1,-4.5
1,7.5
1,24
1,-6.5
0,-13
1,10.5
1,5.5
0,4
0,-4.5
1,15
1,11
0,-14
1,9
1,-2
1,18
0,-1
1,1
1,-1
0,-1.5
1,27
1,4
1,11
1,12.5
1,6
0,-1.5
0,-1
1,28
1,12
0,2
0,-1
1,10
0,3
1,14.5
1,14
1,8
1,2.5
1,15
0,-6
0,-4
1,-1
1,4
0,4
1,14.5
1,1
0,-5
1,12.5
1,-2
1,5.5
0,-3
0,-3
1,11
1,4.5
1,2.5
1,7.5
0,-18.5
0,-3.5
1,7.5
0,6
1,19.5
1,14
1,9.5
1,2.5
1,4.5
1,7.5
1,1
1,-1
0,-1
1,5
0,2
1,15
0,2.5
1,8
0,8.5
1,1
0,-16
1,8.5
0,4
1,19
1,-1
1,1.5
1,24
1,7.5
1,1
1,2
1,18.5
0,4.5
1,2.5
0,-12
0,-3
1,9
1,20.5
0,9
1,11
0,3
1,9.5
0,-4
0,3
0,-7.5
1,20.5
1,-2.5
1,-3.5
1,14
1,4
1,5.5
1,4
1,-1
0,-3
1,14
0,13.5
1,4
1,9.5
1,17
1,11.5
0,1
0,4.5
1,18
0,17
1,10
1,12.5
1,16
1,5
0,-8
1,8
0,4.5
1,1
1,-1.5
0,2
1,12.5
1,7.5
1,-5
1,15
0,-8.5
1,1
1,18.5
1,2
0,4
0,10.5
0,-4.5
1,7
1,18
0,-5
0,-21
0,-9.5
1,10
0,13
0,-8.5
0,-22
1,1
0,-9
0,-20
1,3.5
0,-15
1,3
1,-10
1,6.5
0,8
1,21
0,8.5
1,13.5
0,-5
1,23.5
1,1.5
1,6.5
0,1
0,1
1,10
1,9
1,16
1,1.5
1,-1
1,-2
1,7
1,5.5
0,-5
1,-13
0,-2.5
0,-5
1,-9
1,5
0,-10
1,10
0,-11
1,15
1,10.5
1,-1
1,4.5
0,2
1,6.5
0,6.5
0,-6
1,7
0,-16
1,12.5
1,20
1,2
1,9.5
0,2
0,9
1,1
1,13
1,-4.5
1,23
1,23
0,-5.5
0,-1
1,15
0,-2
1,10
1,8.5
1,19.5
0,-5.5
1,1.5
1,8
0,-5
0,-3
0,-6.5
0,7
1,1
0,7.5
1,24
1,15
1,3
1,8.5
1,-2.5
1,8.5
1,14
1,-4.5
1,-3
