"Opening","Solder","Mask","PadType","Panel","skips"
"L","Thick","A1.5","W4",1,0
"L","Thick","A1.5","W4",2,0
"L","Thick","A1.5","W4",3,0
"L","Thick","A1.5","D4",1,0
"L","Thick","A1.5","D4",2,0
"L","Thick","A1.5","D4",3,0
"L","Thick","A1.5","L4",1,0
"L","Thick","A1.5","L4",2,0
"L","Thick","A1.5","L4",3,0
"L","Thick","A1.5","D6",1,0
"L","Thick","A1.5","D6",2,0
"L","Thick","A1.5","D6",3,0
"L","Thick","A1.5","L6",1,0
"L","Thick","A1.5","L6",2,0
"L","Thick","A1.5","L6",3,0
"L","Thick","A1.5","D7",1,0
"L","Thick","A1.5","D7",2,0
"L","Thick","A1.5","D7",3,0
"L","Thick","A1.5","L7",1,0
"L","Thick","A1.5","L7",2,0
"L","Thick","A1.5","L7",3,0
"L","Thick","A1.5","L8",1,0
"L","Thick","A1.5","L8",2,0
"L","Thick","A1.5","L8",3,0
"L","Thick","A1.5","W9",1,0
"L","Thick","A1.5","W9",2,0
"L","Thick","A1.5","W9",3,0
"L","Thick","A1.5","L9",1,0
"L","Thick","A1.5","L9",2,0
"L","Thick","A1.5","L9",3,0
"M","Thick","A1.5","W4",1,0
"M","Thick","A1.5","W4",2,0
"M","Thick","A1.5","W4",3,0
"M","Thick","A1.5","D4",1,0
"M","Thick","A1.5","D4",2,1
"M","Thick","A1.5","D4",3,0
"M","Thick","A1.5","L4",1,0
"M","Thick","A1.5","L4",2,2
"M","Thick","A1.5","L4",3,1
"M","Thick","A1.5","D6",1,0
"M","Thick","A1.5","D6",2,0
"M","Thick","A1.5","D6",3,0
"M","Thick","A1.5","L6",1,0
"M","Thick","A1.5","L6",2,0
"M","Thick","A1.5","L6",3,0
"M","Thick","A1.5","D7",1,1
"M","Thick","A1.5","D7",2,0
"M","Thick","A1.5","D7",3,1
"M","Thick","A1.5","L7",1,1
"M","Thick","A1.5","L7",2,0
"M","Thick","A1.5","L7",3,0
"M","Thick","A1.5","L8",1,0
"M","Thick","A1.5","L8",2,0
"M","Thick","A1.5","L8",3,1
"M","Thick","A1.5","W9",1,0
"M","Thick","A1.5","W9",2,0
"M","Thick","A1.5","W9",3,0
"M","Thick","A1.5","L9",1,0
"M","Thick","A1.5","L9",2,0
"M","Thick","A1.5","L9",3,1
"S","Thick","A1.5","W4",1,1
"S","Thick","A1.5","W4",2,0
"S","Thick","A1.5","W4",3,1
"S","Thick","A1.5","D4",1,1
"S","Thick","A1.5","D4",2,0
"S","Thick","A1.5","D4",3,1
"S","Thick","A1.5","L4",1,4
"S","Thick","A1.5","L4",2,3
