SHGT,MHGT,FHGT
77,65,74
70,62,64
61,60,68
75,65,71
72,65,71
72,66,70
75,65,72
72,63,67
70,61,67
60,62,71
71,62,66
67,62,69
71,62,67
65,64,72
64,64,70
68,65,70
65,61,69
71,63,67
71,60,71
68,63,67
70,63,70
63,61,70
73,64,67
72,65,72
74,67,72
68,60,63
63,61,64
71,63,69
67,62,65
72,62,70
70,66,75
75,70,72
69,66,69
72,65,68
68,65,74
66,64,69
73,64,72
63,63,71
71,62,68
62,61,72
72,64,69
66,62,70
72,66,76
71,65,65
74,68,69
69,71,70
69,67,71
62,60,70
71,64,70
71,65,70
78,70,71
62,62,63
72,61,72
64,65,70
65,66,72
67,63,72
70,66,68
75,65,69
69,54,66
61,63,68
69,62,68
67,62,67
68,69,70
72,65,72
69,65,70
70,60,68
71,69,67
73,64,68
67,62,67
70,64,67
74,64,74
65,65,72
69,64,67
74,68,72
67,65,73
66,63,66
70,65,67
63,62,69
74,65,72
73,65,72
72,64,74
69,64,73
72,68,70
63,65,68
74,64,69
75,66,74
74,63,73
66,64,75
71,63,68
72,67,65
65,67,70
73,62,78
72,67,71
70,66,73
70.5,63,69
70,57,69
75,66,70
70,64,65
73,68,72
73,67,68
70,66,72
70.5,67,73
67,60,69
