"Name","Neighborhood","Type","FoodScore","FeelScore","Price"
"Uchi","South Lamar","Japanese, Modern","9.8","8.5","85"
"Congress","Congress Ave. Area","Modern","9.7","9.0","130"
"Franklin Barbecue","East Austin","Barbecue","9.5","5.5","15"
"Uchiko","Seton Medical","Japanese, Modern","9.4","9.0","60"
"Jeffrey's","Clarksville","Modern","9.4","8.5","75"
"Fino","Seton Medical","Modern, Spanish","9.3","9.0","60"
"Olivia","South Lamar","Modern","9.3","9.0","70"
"Vino Vino","Hyde Park","Modern","9.1","9.0","45"
"Parkside","Sixth Street District","Modern","9.0","8.0","60"
"Barley Swine","South Lamar","Modern","8.9","8.0","60"
"Vespaio Enoteca","South Congress","Italian","8.9","8.0","35"
"Fabi and Rosi","Tarrytown","Modern","8.8","9.0","50"
"La Condesa","Second Street","Mexican","8.8","8.0","60"
"Second Bar + Kitchen","Second Street","Modern","8.7","9.0","50"
"Mulberry","Warehouse District","Modern","8.7","8.0","50"
"Peche","Warehouse District","Modern","8.6","7.0","80"
"Haddington's","Warehouse District","Modern","8.5","9.0","50"
"Lamberts","Second Street","Southwestern","8.5","9.0","75"
"Asti","Hyde Park","Italian","8.5","8.0","50"
"The Backspace","Sixth Street District","Pizza","8.5","8.0","40"
"Manuel's","Congress Ave. Area","Mexican","8.4","8.0","40"
"Vespaio","South Congress","Italian","8.3","9.0","70"
"Wink","House Park Area","Modern","8.3","8.5","110"
"East Side Showroom","East Austin","Modern","8.2","9.0","45"
"Hut's Hamburgers","Warehouse District","Burgers, American","8.2","8.0","15"
"Perry's Steakhouse","Capitol Area","Steakhouse","8.2","8.0","90"
"Cafe Josie","Clarksville","Southwestern","8.1","9.0","55"
"Perla's","South Congress","Seafood, Modern","8.0","9.0","75"
"South Congress Cafe","South Congress","Southwestern","8.0","8.5","45"
"Cipollina","Clarksville","Italian, Pizza","8.0","8.0","40"
"Bess Bistro","Warehouse District","Modern","7.9","8.5","50"
"Jezebel","Congress Ave. Area","Modern","7.8","9.0","110"
"Ruth's Chris","Congress Ave. Area","Steakhouse","7.8","8.0","100"
"III Forks","Second Street","Steakhouse","7.7","8.5","95"
"Trudy's","UT Area","Mexican","7.6","8.5","25"
"El Greco","The Drag","Middle Eastern","7.6","6.0","30"
"Fleming's","Convention Center","Steakhouse","7.5","8.0","90"
"Austin Land & Cattle","House Park Area","Steakhouse","7.4","8.0","70"
"Zocalo Cafe","Clarksville","Mexican","7.4","7.5","20"
"Maria Maria La Cantina","Warehouse District","Mexican","7.3","8.5","45"
"Chez Nous","Sixth Street District","French","7.2","9.5","50"
"Eddie V's","Sixth Street District","Seafood, Steakhouse","7.2","7.5","90"
"Uncorked","East Austin","Modern","7.0","8.5","60"
"Z'Tejas","Clarksville","Southwestern, Mexican","7.0","8.5","35"
"24 Diner","Clarksville","American","7.0","8.0","30"
"Garrido's","Warehouse District","Mexican","7.0","8.0","45"
"Brick Oven on 35th","Seton Medical","Italian","6.9","8.0","25"
"Max's Wine Dive","Convention Center","Modern","6.9","8.0","50"
