home,nbhd,offers,sqft,brick,bedrooms,bathrooms,price
1,nbhd02,2,1790,No,2,2,114300
2,nbhd02,3,2030,No,4,2,114200
3,nbhd02,1,1740,No,3,2,114800
4,nbhd02,3,1980,No,3,2,94700
5,nbhd02,3,2130,No,3,3,119800
6,nbhd01,2,1780,No,3,2,114600
7,nbhd03,3,1830,Yes,3,3,151600
8,nbhd03,2,2160,No,4,2,150700
9,nbhd02,3,2110,No,4,2,119200
10,nbhd02,3,1730,No,3,3,104000
11,nbhd02,3,2030,Yes,3,2,132500
12,nbhd02,2,1870,Yes,2,2,123000
13,nbhd01,4,1910,No,3,2,102600
14,nbhd01,5,2150,Yes,3,3,126300
15,nbhd03,4,2590,No,4,3,176800
16,nbhd03,1,1780,No,4,2,145800
17,nbhd02,4,2190,Yes,3,3,147100
18,nbhd01,4,1990,No,3,3,83600
19,nbhd02,1,1700,Yes,2,2,111400
20,nbhd03,2,1920,Yes,3,3,167200
21,nbhd02,3,1790,No,3,2,116200
22,nbhd01,4,2000,No,3,2,113800
23,nbhd01,3,1690,No,3,2,91700
24,nbhd01,3,1820,Yes,3,2,106100
25,nbhd02,2,2210,Yes,4,3,156400
26,nbhd01,3,2290,No,4,3,149300
27,nbhd03,3,2000,No,4,2,137000
28,nbhd02,2,1700,No,3,2,99300
29,nbhd01,3,1600,No,2,2,69100
30,nbhd03,1,2040,Yes,4,3,188000
31,nbhd03,3,2250,Yes,4,3,182000
32,nbhd01,2,1930,Yes,2,2,112300
33,nbhd02,3,2250,Yes,3,3,135000
34,nbhd02,4,2280,Yes,5,3,139600
35,nbhd01,3,2000,No,2,2,117800
36,nbhd01,3,2080,No,3,3,117100
37,nbhd01,2,1880,No,2,2,117500
38,nbhd03,4,2420,No,4,3,147000
39,nbhd03,1,1720,No,3,2,131300
40,nbhd01,2,1740,No,3,2,108200
41,nbhd02,1,1560,No,2,2,106600
42,nbhd03,2,1840,No,4,3,133600
43,nbhd02,3,1990,No,2,2,105600
44,nbhd02,1,1920,Yes,3,2,154000
45,nbhd03,2,1940,Yes,3,3,166500
46,nbhd02,3,1810,No,3,2,103200
47,nbhd01,2,1990,No,2,3,129800
48,nbhd01,6,2050,No,3,2,90300
49,nbhd02,2,1980,No,2,2,115900
50,nbhd01,3,1700,Yes,3,2,107500
51,nbhd02,3,2100,Yes,3,2,151100
52,nbhd01,3,1860,No,2,2,91100
53,nbhd01,4,2150,No,2,3,117400
54,nbhd01,3,2100,No,3,2,130800
55,nbhd01,3,1650,No,3,2,81300
56,nbhd02,2,1720,Yes,2,2,125700
57,nbhd02,3,2190,Yes,3,2,140900
58,nbhd03,3,2240,No,4,3,152300
59,nbhd03,1,1840,No,3,3,138100
60,nbhd03,1,2090,No,4,2,155400
