"Year","Month","co2"
1958,"Jan.",NA
1958,"Feb.",NA
1958,"March",315.71
1958,"April",317.45
1958,"May",317.5
1958,"June",NA
1958,"July",315.86
1958,"Aug.",314.93
1958,"Sept.",313.19
1958,"Oct.",NA
1958,"Nov.",313.34
1958,"Dec.",314.67
1959,"Jan.",315.58
1959,"Feb.",316.47
1959,"March",316.65
1959,"April",317.71
1959,"May",318.29
1959,"June",318.16
1959,"July",316.55
1959,"Aug.",314.8
1959,"Sept.",313.84
1959,"Oct.",313.34
1959,"Nov.",314.81
1959,"Dec.",315.59
1960,"Jan.",316.43
1960,"Feb.",316.97
1960,"March",317.58
1960,"April",319.03
1960,"May",320.03
1960,"June",319.59
1960,"July",318.18
1960,"Aug.",315.91
1960,"Sept.",314.16
1960,"Oct.",313.83
1960,"Nov.",315
1960,"Dec.",316.19
1961,"Jan.",316.89
1961,"Feb.",317.7
1961,"March",318.54
1961,"April",319.48
1961,"May",320.58
1961,"June",319.78
1961,"July",318.58
1961,"Aug.",316.79
1961,"Sept.",314.99
1961,"Oct.",315.31
1961,"Nov.",316.1
1961,"Dec.",317.01
1962,"Jan.",317.94
1962,"Feb.",318.56
1962,"March",319.69
1962,"April",320.58
1962,"May",321.01
1962,"June",320.61
1962,"July",319.61
1962,"Aug.",317.4
1962,"Sept.",316.26
1962,"Oct.",315.42
1962,"Nov.",316.69
1962,"Dec.",317.69
1963,"Jan.",318.74
1963,"Feb.",319.08
1963,"March",319.86
1963,"April",321.39
1963,"May",322.24
1963,"June",321.47
1963,"July",319.74
1963,"Aug.",317.77
1963,"Sept.",316.21
1963,"Oct.",315.99
1963,"Nov.",317.07
1963,"Dec.",318.36
1964,"Jan.",319.57
1964,"Feb.",NA
1964,"March",NA
1964,"April",NA
1964,"May",322.23
1964,"June",321.89
1964,"July",320.44
1964,"Aug.",318.7
1964,"Sept.",316.7
1964,"Oct.",316.87
1964,"Nov.",317.68
1964,"Dec.",318.71
1965,"Jan.",319.44
1965,"Feb.",320.44
1965,"March",320.89
1965,"April",322.13
1965,"May",322.16
1965,"June",321.87
1965,"July",321.21
1965,"Aug.",318.87
1965,"Sept.",317.81
1965,"Oct.",317.3
1965,"Nov.",318.87
1965,"Dec.",319.42
1966,"Jan.",320.62
1966,"Feb.",321.59
1966,"March",322.39
1966,"April",323.7
1966,"May",324.07
1966,"June",323.75
1966,"July",322.4
1966,"Aug.",320.37
1966,"Sept.",318.64
1966,"Oct.",318.1
1966,"Nov.",319.79
1966,"Dec.",321.03
1967,"Jan.",322.33
1967,"Feb.",322.5
1967,"March",323.04
1967,"April",324.42
1967,"May",325
1967,"June",324.09
1967,"July",322.55
1967,"Aug.",320.92
1967,"Sept.",319.26
