"Subject","Session","Trial","CorrectAnswer","FarAway","Littered","PictureTarget.ACC","PictureTarget.RT","SceneLetter","Side","Target","TrialList"
10,1,1,2,0,0,1,635,"d","right","00rd.bmp",8
10,1,3,1,0,0,1,1144,"e","left","00le.bmp",4
10,1,12,1,0,0,1,570,"c","left","00lc.bmp",2
10,1,15,1,0,0,1,589,"b","left","00lb.bmp",1
10,1,17,1,0,0,1,754,"f","left","00lf.bmp",5
10,1,18,1,0,0,1,601,"d","left","00ld.bmp",3
10,1,27,2,0,0,1,507,"c","right","00rc.bmp",7
10,1,33,2,0,0,1,469,"b","right","00rb.bmp",6
10,1,38,2,0,0,1,567,"f","right","00rf.bmp",10
10,1,39,2,0,0,1,783,"e","right","00re.bmp",9
10,2,1,1,0,0,1,493,"d","left","00ld.bmp",3
10,2,3,1,0,0,1,552,"c","left","00lc.bmp",2
10,2,5,2,0,0,1,552,"d","right","00rd.bmp",8
10,2,8,2,0,0,1,605,"f","right","00rf.bmp",10
10,2,20,1,0,0,1,625,"e","left","00le.bmp",4
10,2,27,2,0,0,1,424,"b","right","00rb.bmp",6
10,2,28,1,0,0,1,407,"b","left","00lb.bmp",1
10,2,31,2,0,0,1,466,"c","right","00rc.bmp",7
10,2,34,2,0,0,1,711,"e","right","00re.bmp",9
10,2,38,1,0,0,1,470,"f","left","00lf.bmp",5
10,3,9,2,0,0,1,537,"d","right","00rd.bmp",8
10,3,12,1,0,0,1,401,"e","left","00le.bmp",4
10,3,13,1,0,0,1,402,"d","left","00ld.bmp",3
10,3,17,2,0,0,1,408,"e","right","00re.bmp",9
10,3,22,1,0,0,1,409,"c","left","00lc.bmp",2
10,3,25,2,0,0,1,434,"f","right","00rf.bmp",10
10,3,30,1,0,0,1,459,"b","left","00lb.bmp",1
10,3,35,2,0,0,1,462,"b","right","00rb.bmp",6
10,3,36,2,0,0,1,469,"c","right","00rc.bmp",7
10,3,40,1,0,0,1,516,"f","left","00lf.bmp",5
10,4,1,2,0,0,1,403,"e","right","00re.bmp",9
10,4,2,1,0,0,1,378,"c","left","00lc.bmp",2
10,4,15,1,0,0,1,378,"b","left","00lb.bmp",1
10,4,16,2,0,0,1,413,"f","right","00rf.bmp",10
10,4,19,2,0,0,1,407,"b","right","00rb.bmp",6
10,4,24,2,0,0,1,423,"c","right","00rc.bmp",7
10,4,28,2,0,0,1,414,"d","right","00rd.bmp",8
10,4,29,1,0,0,1,560,"e","left","00le.bmp",4
10,4,30,1,0,0,1,399,"d","left","00ld.bmp",3
10,4,39,1,0,0,1,523,"f","left","00lf.bmp",5
12,1,2,2,0,0,1,502,"b","right","00rb.bmp",6
12,1,10,1,0,0,1,529,"b","left","00lb.bmp",1
12,1,11,2,0,0,1,416,"e","right","00re.bmp",9
12,1,18,1,0,0,1,518,"e","left","00le.bmp",4
12,1,25,2,0,0,1,467,"c","right","00rc.bmp",7
12,1,26,1,0,0,1,528,"f","left","00lf.bmp",5
12,1,29,2,0,0,1,556,"d","right","00rd.bmp",8
12,1,32,2,0,0,1,483,"f","right","00rf.bmp",10
12,1,34,1,0,0,1,496,"c","left","00lc.bmp",2
12,1,40,1,0,0,1,554,"d","left","00ld.bmp",3
12,2,2,1,0,0,1,475,"d","left","00ld.bmp",3
12,2,6,2,0,0,1,423,"e","right","00re.bmp",9
12,2,7,2,0,0,1,439,"c","right","00rc.bmp",7
12,2,10,2,0,0,1,438,"b","right","00rb.bmp",6
12,2,22,1,0,0,1,455,"f","left","00lf.bmp",5
12,2,29,2,0,0,1,429,"f","right","00rf.bmp",10
12,2,34,2,0,0,1,447,"d","right","00rd.bmp",8
12,2,35,1,0,0,1,467,"b","left","00lb.bmp",1
12,2,37,1,0,0,1,477,"c","left","00lc.bmp",2
12,2,40,1,0,0,1,508,"e","left","00le.bmp",4
12,3,7,1,0,0,1,499,"b","left","00lb.bmp",1
12,3,9,2,0,0,1,426,"e","right","00re.bmp",9
12,3,10,1,0,0,1,460,"c","left","00lc.bmp",2
