"SAT.V","SAT.Q","SAT.C","School","GPA","Status"
690,580,1270,"BUSINESS",3.8235,"G"
530,710,1240,"NATURAL SCIENCE",3.5338,"G"
610,700,1310,"NATURAL SCIENCE",3.3679,"G"
730,700,1430,"ENGINEERING",3.3437,"G"
700,710,1410,"NATURAL SCIENCE",3.7205,"G"
540,690,1230,"LIBERAL ARTS",2.6851,"G"
740,680,1420,"ENGINEERING",3.614,"G"
590,660,1250,"BUSINESS",2.1403,"G"
540,540,1080,"LIBERAL ARTS",2.7441,"G"
550,580,1130,"LIBERAL ARTS",3.7741,"G"
800,650,1450,"LIBERAL ARTS",4,"G"
750,710,1460,"NATURAL SCIENCE",3.2408,"G"
630,710,1340,"LIBERAL ARTS",2.6521,"G"
710,700,1410,"LIBERAL ARTS",3.6277,"G"
670,660,1330,"LIBERAL ARTS",3.8646,"G"
630,710,1340,"COMMUNICATIONS",3.7669,"G"
660,680,1340,"ENGINEERING",3.4825,"G"
610,730,1340,"LIBERAL ARTS",3.85,"G"
530,630,1160,"ENGINEERING",2.7573,"G"
750,700,1450,"NATURAL SCIENCE",3.7179,"G"
650,580,1230,"FINE ARTS",3.9449,"G"
560,570,1130,"BUSINESS",3.6944,"G"
550,650,1200,"LIBERAL ARTS",3.3529,"G"
510,440,950,"LIBERAL ARTS",2.4033,"G"
580,640,1220,"LIBERAL ARTS",3.7032,"G"
540,680,1220,"LIBERAL ARTS",3.2758,"G"
590,590,1180,"LIBERAL ARTS",2.7341,"G"
720,670,1390,"LIBERAL ARTS",2.7258,"G"
680,660,1340,"NATURAL SCIENCE",3.0522,"G"
740,790,1530,"BUSINESS",3.6994,"G"
580,620,1200,"BUSINESS",3.2089,"G"
500,520,1020,"LIBERAL ARTS",2.8461,"G"
690,680,1370,"BUSINESS",3.2812,"G"
710,770,1480,"ENGINEERING",3.2534,"G"
540,560,1100,"NATURAL SCIENCE",3.2434,"G"
600,700,1300,"ENGINEERING",3.5891,"G"
700,750,1450,"ENGINEERING",4,"G"
560,660,1220,"LIBERAL ARTS",3.8644,"G"
550,700,1250,"FINE ARTS",2.8119,"G"
660,740,1400,"BUSINESS",3.7647,"G"
720,730,1450,"LIBERAL ARTS",3.7876,"G"
560,520,1080,"LIBERAL ARTS",3.1259,"G"
590,620,1210,"ENGINEERING",2.3801,"G"
580,630,1210,"BUSINESS",3.5945,"G"
560,560,1120,"LIBERAL ARTS",3.2692,"G"
670,640,1310,"COMMUNICATIONS",2.9687,"G"
690,710,1400,"NATURAL SCIENCE",3.6607,"G"
690,690,1380,"ENGINEERING",3.2919,"G"
690,600,1290,"ARCHITECTURE",3.5298,"G"
600,700,1300,"NATURAL SCIENCE",3.4444,"G"
540,610,1150,"NATURAL SCIENCE",3.7058,"G"
640,650,1290,"BUSINESS",3.0909,"G"
710,650,1360,"LIBERAL ARTS",3.75,"G"
680,580,1260,"LIBERAL ARTS",3.44,"G"
650,660,1310,"NATURAL SCIENCE",2.7681,"G"
690,530,1220,"SOCIAL WORK",3.7604,"G"
660,690,1350,"BUSINESS",3.7196,"G"
530,640,1170,"LIBERAL ARTS",3.407,"G"
650,580,1230,"BUSINESS",3.414,"G"
630,610,1240,"LIBERAL ARTS",3.03,"G"
640,650,1290,"BUSINESS",3.3076,"G"
650,800,1450,"LIBERAL ARTS",3.9343,"G"
690,640,1330,"EDUCATION",4,"G"
680,620,1300,"LIBERAL ARTS",2.9272,"G"
600,630,1230,"COMMUNICATIONS",3.6823,"G"
650,590,1240,"NATURAL SCIENCE",2.8194,"G"
610,540,1150,"FINE ARTS",3.8717,"G"
520,630,1150,"NATURAL SCIENCE",2.8985,"G"
650,780,1430,"ENGINEERING",2.8655,"G"
360,660,1020,"ENGINEERING",2.632,"G"
610,640,1250,"LIBERAL ARTS",2.7317,"G"
590,500,1090,"LIBERAL ARTS",3.754,"G"
600,660,1260,"BUSINESS",3.1632,"G"
640,660,1300,"LIBERAL ARTS",3.625,"G"
590,620,1210,"NATURAL SCIENCE",2.9469,"G"
520,610,1130,"BUSINESS",2.6617,"G"
690,650,1340,"LIBERAL ARTS",3.3703,"G"
380,710,1090,"LIBERAL ARTS",3.3089,"G"
470,490,960,"LIBERAL ARTS",3.3025,"G"
660,650,1310,"BUSINESS",3.0612,"G"
500,530,1030,"BUSINESS",2.6857,"G"
620,570,1190,"LIBERAL ARTS",2.7545,"G"
630,730,1360,"BUSINESS",3.2251,"G"
670,670,1340,"ARCHITECTURE",2.8593,"G"
620,570,1190,"LIBERAL ARTS",3.3096,"G"
530,560,1090,"LIBERAL ARTS",3.031,"G"
590,520,1110,"LIBERAL ARTS",3.4418,"G"
590,730,1320,"BUSINESS",3.4418,"G"
600,580,1180,"LIBERAL ARTS",2.6422,"G"
630,650,1280,"BUSINESS",3.1311,"G"
570,590,1160,"FINE ARTS",3.0697,"G"
630,670,1300,"ENGINEERING",3.0229,"G"
470,580,1050,"LIBERAL ARTS",2.6594,"G"
540,690,1230,"ENGINEERING",3.2935,"G"
670,550,1220,"COMMUNICATIONS",3.8659,"G"
600,460,1060,"COMMUNICATIONS",3.1296,"G"
570,630,1200,"LIBERAL ARTS",2.1503,"G"
690,610,1300,"LIBERAL ARTS",3.0306,"G"
680,700,1380,"ENGINEERING",2.8934,"G"
680,560,1240,"LIBERAL ARTS",3.7631,"G"
720,670,1390,"LIBERAL ARTS",4,"G"
700,750,1450,"BUSINESS",3.824,"G"
400,580,980,"ENGINEERING",3.5044,"G"
640,710,1350,"LIBERAL ARTS",3.6074,"G"
750,720,1470,"NATURAL SCIENCE",2.0954,"G"
530,510,1040,"LIBERAL ARTS",2.0674,"G"
580,630,1210,"LIBERAL ARTS",3.542,"G"
680,800,1480,"NATURAL SCIENCE",3.056,"G"
